packet_size,request_rate,source_ip_entropy,destination_port,protocol,payload_size,label
402.84771020457913,42.09361960532951,2.1197415375106328,80,ICMP,90.59580694181722,DoS
177.5025553764509,4.84898897420156,4.304254471494081,443,UDP,120.79299580557813,Normal
710.3036814083891,54.68700897898609,3.2245565483778558,80,ICMP,-15.030446450560703,DoS
188.49629841924659,3.2935469883183255,4.388967071953949,443,UDP,84.82374124152363,Normal
603.0067100070258,60.415202013417044,2.3802049993611925,80,ICMP,100.74853895595051,DoS
387.37667283397275,50.10723865508414,2.5977253551390143,5683,TCP,188.4837904557375,DoS
181.4847577923657,5.028082460026188,5.259577539004878,443,UDP,130.07937451074906,Normal
261.7380049285704,5.202883859179748,3.9974711987706533,443,TCP,149.77477880077,Normal
210.06637508826188,3.2858620040671074,5.182511750719546,5683,TCP,149.4439858923379,Normal
417.790076585245,50.76732913565016,2.54558514121989,5683,ICMP,19.27901498980046,DoS
623.2685576627538,40.59434337682569,2.6078269403058765,80,ICMP,187.84732927768368,DoS
563.8059339172783,56.16661032552222,2.0040336566923793,80,TCP,160.57282826772973,DoS
465.3522643582537,71.94765374240326,2.6262332162165363,5683,ICMP,142.60384197933485,DoS
629.6608208086024,111.49786777378102,1.3550835158656547,5683,TCP,154.21405453404378,DDoS
231.14535993491378,7.297523989286746,6.44515793039464,22,UDP,190.16121026414305,Unauthorized Access
708.4677850130349,43.31303919087473,2.837788279455175,5683,TCP,70.18705471721589,DoS
441.8361706817663,42.68885326294211,1.2248912865915857,80,ICMP,73.31784192127316,DoS
514.9016679018364,35.81914258056739,3.529666019450433,80,ICMP,112.9419976457763,DoS
203.87589700908345,2.9367859621518586,4.117428368550287,443,UDP,99.37896921880922,Normal
443.64447589938214,40.80384543867491,3.0369814824243258,5683,ICMP,127.18970024361735,DoS
555.1229478033042,95.34297154244011,1.0593226693319489,5683,ICMP,150.60136012908475,DDoS
245.31829384878324,7.645836551514719,5.588489650881512,8080,UDP,205.40674873437464,Unauthorized Access
489.771840699942,110.717117909093,1.2636933800578216,443,UDP,147.34871724661667,DDoS
260.52942285706064,9.364783602942932,6.529970908385957,22,ICMP,163.72990982280285,Unauthorized Access
407.073714679629,45.36388982558187,2.5872744027764334,80,TCP,85.49689731028155,DoS
695.5248961847672,48.77649590840084,3.4380405214029217,80,ICMP,175.91106548736474,DoS
301.6886861705768,7.38144885840848,4.653291319053085,8080,UDP,183.64872705795656,Unauthorized Access
792.78014401172,86.49927547512917,0.9794976328249423,5683,TCP,141.92395014515768,DDoS
392.14857451747633,87.66420427389443,1.1240299314786764,443,UDP,134.63474966895993,DDoS
739.5222712743415,92.49932706197123,1.8895333617902703,443,UDP,187.7114879767444,DDoS
340.15767858051277,8.372277320047576,6.422507556933421,8080,ICMP,196.0773900400964,Unauthorized Access
260.416237143652,7.5047267315434105,5.539537006419191,8080,UDP,192.7719801340997,Unauthorized Access
587.0475345011952,99.12051775289446,1.7116396944844443,443,UDP,209.27237330673933,DDoS
196.46998597029537,6.471285849504731,5.046897373963226,5683,UDP,126.23125975508744,Normal
524.7009044320002,134.46089390511827,1.653779553333203,443,UDP,174.93421963166122,DDoS
197.1304330544261,4.564661909145848,4.491812133614316,80,TCP,139.7774269572792,Normal
657.0494555112887,119.07367364812441,1.8631579631822832,443,TCP,183.85062727387,DDoS
382.7503959400715,45.167925493250706,2.198084542971752,80,ICMP,50.12005426647814,DoS
265.7119147122754,7.812345611083516,6.151516200409274,22,ICMP,214.6078130690401,Unauthorized Access
628.4638857620695,101.75159577360397,1.7463698037374864,443,TCP,114.82072744838791,DDoS
